,Germany,Greece,Italy,Japan,"Korea, South",Spain,Day
2021-06-06,3700367,409368,4232428,762253,144637,3697981,502
2021-06-07,3701484,410166,4233698,763533,145091,3707523,503
2021-06-08,3702688,411534,4235592,765414,145692,3711027,504
2021-06-09,3705942,412420,4237790,767652,146303,3715454,505
2021-06-10,3709129,413170,4239868,769694,146859,3729458,506
2021-06-11,3711569,413954,4241760,771628,147422,3733600,507
2021-06-12,3713480,414636,4243482,773569,147874,3733600,508
2021-06-13,3714969,414933,4244872,774951,148273,3733600,509
2021-06-14,3715518,415401,4245779,775884,148647,3741767,510
2021-06-15,3716170,416195,4247032,777301,149191,3745199,511
2021-06-16,3717625,416741,4248432,779008,149731,3749031,512
2021-06-17,3718955,417253,4249755,780558,150238,3753228,513
2021-06-18,3720031,417706,4250902,782178,150720,3757442,514
2021-06-19,3720031,418095,4252095,783696,151149,3757442,515
2021-06-20,3721981,418342,4252976,785002,151506,3757442,516
2021-06-21,3722327,418548,4253460,785870,151901,3764651,517
2021-06-22,3722782,418943,4254294,787305,152545,3768691,518
2021-06-23,3723798,419455,4255434,789085,153155,3773032,519
2021-06-24,3724806,419909,4255700,790759,153789,3777539,520
2021-06-25,3725580,420295,4256451,792469,154457,3782463,521
2021-06-26,3726172,420670,4257289,794100,155071,3782463,522
2021-06-27,3726710,420905,4258069,795382,155572,3782463,523
2021-06-28,3726929,421266,4258456,796383,156167,3792642,524
2021-06-29,3727333,421829,4259133,797763,156961,3799733,525
2021-06-30,3728141,422456,4259909,799583,157723,3808960,526
2021-07-01,3729033,423185,4260788,801337,158549,3821305,527
2021-07-02,3729682,424165,4261582,803112,159342,3833868,528
2021-07-03,3729682,425347,4262511,804990,160084,3833868,529
2021-07-04,3729682,425964,4263317,806475,160795,3833868,530
2021-07-05,3731124,426963,4263797,807504,161541,3866475,531
2021-07-06,3731564,429144,4264704,809172,162753,3880612,532
2021-07-07,3732549,430960,4265714,811361,164028,3897996,533
2021-07-08,3733519,433021,4267105,813607,165344,3915313,534
2021-07-09,3734468,435018,4268491,815883,166722,3937192,535
2021-07-10,3734468,437345,4269885,818341,168046,3937192,536
2021-07-11,3734468,438809,4271276,820371,169146,3937192,537
2021-07-12,3736489,440872,4272163,821876,170296,3971124,538
2021-07-13,3737135,444783,4273693,824260,171911,4015084,539
2021-07-14,3738683,447718,4275846,827452,173511,4041474,540
2021-07-15,3740325,450512,4278319,830870,175046,4069162,541
2021-07-16,3741781,453200,4281214,834303,176500,4100222,542
2021-07-17,3741781,455754,4284332,838189,177951,4100222,543
2021-07-18,3741781,457312,4287458,841290,179203,4100222,544
2021-07-19,3745227,459146,4289528,843618,180481,4161850,545
2021-07-20,3746410,463473,4293083,847377,182265,4189136,546
2021-07-21,3748613,466441,4297337,852326,184103,4219723,547
2021-07-22,3750503,469042,4302393,857725,185733,4249258,548
2021-07-23,3752592,471894,4307535,861959,187362,4280429,549
2021-07-24,3752592,474366,4312673,865553,188848,4280429,550
2021-07-25,3752592,475919,4317415,870592,190166,4280429,551
2021-07-26,3756856,477975,4320530,875301,191531,4342054,552
2021-07-27,3758401,482145,4325046,882971,193427,4368453,553
2021-07-28,3761169,485015,4330739,892599,195099,4395602,554
2021-07-29,3764311,487709,4336906,903351,196806,4422291,555
2021-07-30,3766765,490552,4343519,914182,198345,4447044,556
2021-07-31,3766765,493304,4350028,926604,199787,4447044,557
2021-08-01,3766765,494907,4355348,936852,201002,4447044,558
2021-08-02,3772109,497061,4358533,945330,202203,4502983,559
2021-08-03,3773875,501030,4363374,957431,203926,4523310,560
2021-08-04,3777446,503885,4369964,971743,205702,4545184,561
2021-08-05,3780985,506672,4377188,987060,207406,4566571,562
2021-08-06,3784433,509596,4383787,1002867,209228,4588132,563
2021-08-07,3784433,512342,4390684,1018688,210956,4588132,564
2021-08-08,3784433,514192,4396417,1033214,212448,4588132,565
2021-08-09,3791949,516785,4400617,1045392,213987,4627770,566
2021-08-10,3794429,521399,4406241,1056125,216206,4643450,567
2021-08-11,3799425,524871,4413162,1072153,218192,4660473,568
2021-08-12,3805063,528474,4420429,1091187,220182,4677883,569
2021-08-13,3810641,531967,4427827,1111683,222111,4693540,570
2021-08-14,3810641,535237,4435008,1131986,223928,4693540,571
2021-08-15,3810641,537125,4440669,1149874,225481,4693540,572
2021-08-16,3823139,539337,4444338,1164881,226854,4719266,573
2021-08-17,3827051,543749,4449606,1184986,228657,4733602,574
2021-08-18,3835375,547186,4456765,1209082,230808,4745558,575
2021-08-19,3843775,550459,4464005,1234423,232859,4758003,576
2021-08-20,3853055,554055,4471225,1260415,234739,4770453,577
2021-08-21,3853055,557239,4478691,1286077,236366,4770453,578
2021-08-22,3853055,559186,4484613,1308422,237782,4770453,579
2021-08-23,3871865,561812,4488779,1325346,239287,4794352,580
2021-08-24,3877612,566812,4494857,1347015,241439,4804424,581
2021-08-25,3889173,570077,4502396,1371426,243317,4815205,582
2021-08-26,3901799,573605,4509611,1396464,245158,4822320,583
2021-08-27,3913828,576672,4517434,1420783,246951,4831809,584
2021-08-28,3913828,579734,4524292,1443642,248568,4831809,585
2021-08-29,3913828,581315,4530246,1462979,250051,4831809,586
2021-08-30,3937106,583658,4534499,1476653,251421,4847298,587
2021-08-31,3942856,587964,4539991,1494372,253445,4855065,588
2021-09-01,3956387,590832,4546487,1514400,255401,4861883,589
2021-09-02,3970102,593668,4553241,1532616,257110,4871444,590
2021-09-03,3984353,596383,4559970,1549337,258913,4877755,591
2021-09-04,3984353,598667,4566126,1565351,260404,4877755,592
2021-09-05,3984353,599951,4571440,1578258,261778,4877755,593
2021-09-06,4010390,601716,4574787,1586482,263374,4887112,594
2021-09-07,4017116,605158,4579502,1597089,265423,4892640,595
2021-09-08,4030681,607356,4585423,1609477,267470,4898258,596
2021-09-09,4046112,609519,4590941,1619873,269362,4903021,597
2021-09-10,4059081,611648,4596558,1628732,271227,4907461,598
2021-09-11,4059081,613838,4601749,1637534,272982,4907461,599
2021-09-12,4059081,615157,4606413,1644747,274415,4907461,600
2021-09-13,4083151,616765,4609205,1648920,275910,4915265,601
2021-09-14,4089476,620355,4613214,1655199,277989,4918526,602
2021-09-15,4101931,622761,4618040,1662008,279930,4922249,603
2021-09-16,4114856,625083,4623155,1667699,281938,4926324,604
2021-09-17,4125878,627314,4627699,1672812,284022,4929546,605
2021-09-18,4125878,629498,4632275,1677512,285931,4929546,606
2021-09-19,4125878,630784,4636111,1680908,287536,4929546,607
2021-09-20,4145852,632908,4638516,1683129,289263,4935534,608
2021-09-21,4150516,636596,4641890,1684899,290983,4937984,609
2021-09-22,4160970,638921,4645853,1688142,292699,4940824,610
2021-09-23,4171666,641022,4649906,1691743,295132,4943855,611
2021-09-24,4181393,643055,4653696,1693838,298402,4946601,612
2021-09-25,4181393,644869,4657215,1696508,301172,4946601,613
2021-09-26,4181393,645969,4660314,1698644,303553,4946601,614
2021-09-27,4199400,648091,4662087,1699792,305842,4951640,615
2021-09-28,4203571,651378,4665049,1701514,308725,4953930,616
2021-09-29,4215351,653535,4668261,1703497,311289,4956691,617
2021-09-30,4227501,655767,4672355,1705072,313773,4959091,618
2021-10-01,4237619,658368,4675758,1706516,316020,4961128,619
2021-10-02,4237619,660166,4679067,1707759,318105,4961128,620
2021-10-03,4237619,661308,4682034,1708726,319777,4961128,621
2021-10-04,4255388,663433,4683646,1709325,321352,4965399,622
2021-10-05,4260187,666517,4686109,1710304,323379,4967200,623
2021-10-06,4271734,668811,4689341,1711429,325804,4969503,624
2021-10-07,4283378,671040,4692274,1712401,327976,4971310,625
2021-10-08,4293807,673317,4695291,1713228,329925,4973619,626
2021-10-09,4293807,675479,4698038,1714002,331519,4973619,627
2021-10-10,4293807,676799,4700316,1714555,332816,4973619,628
2021-10-11,4313384,679157,4701832,1714924,334163,4977448,629
2021-10-12,4318355,682394,4704318,1715531,335742,4977448,630
2021-10-13,4330258,684706,4707087,1716262,337679,4980206,631
2021-10-14,4342640,687278,4709753,1716879,339361,4982138,632
2021-10-15,4354158,689896,4712482,1717396,340978,4984386,633
2021-10-16,4354158,692197,4715464,1717896,342396,4984386,634
2021-10-17,4354158,693886,4717899,1718324,343445,4984386,635
2021-10-18,4377845,697033,4719493,1718554,344518,4988878,636
2021-10-19,4384616,700959,4722188,1718925,346088,4990767,637
2021-10-20,4401631,704211,4725887,1719313,347529,4993295,638
2021-10-21,4417708,707587,4729678,1719656,348969,4995176,639
2021-10-22,4437280,711128,4733557,1719980,350476,4997732,640
2021-10-23,4437280,714283,4737462,1720263,351899,4997732,641
2021-10-24,4437280,716358,4741185,1720495,353089,4997732,642
2021-10-25,4472730,720295,4743720,1720646,354355,5002217,643
2021-10-26,4483203,724571,4747773,1720956,356305,5004143,644
2021-10-27,4506415,728210,4752368,1721266,358412,5006675,645
2021-10-28,4534452,731167,4757231,1721539,360536,5008887,646
2021-10-29,4559120,734778,4762563,1721831,362639,5011148,647
2021-10-30,4559120,739448,4767440,1722115,364700,5011148,648
2021-10-31,4559120,742170,4771965,1722343,366386,5011148,649
2021-11-01,4607208,747595,4774783,1722427,367974,5011148,650
2021-11-02,4618021,754451,4777614,1722648,370640,5016968,651
2021-11-03,4638419,760592,4782802,1722912,373120,5019255,652
2021-11-04,4672368,767376,4788704,1723070,375464,5022546,653
2021-11-05,4709488,774265,4795465,1723295,377712,5025639,654
2021-11-06,4709488,780621,4802225,1723525,379935,5025639,655
2021-11-07,4709488,784904,4808047,1723682,381694,5025639,656
2021-11-08,4782546,792239,4812594,1723782,383407,5032056,657
2021-11-09,4804378,801208,4818705,1723976,385831,5032056,658
2021-11-10,4844054,808297,4826738,1724203,388351,5038517,659
2021-11-11,4894250,815068,4835435,1724418,390719,5042803,660
2021-11-12,4942890,821900,4843957,1724619,393042,5047156,661
2021-11-13,4942890,828032,4852496,1724813,395460,5047156,662
2021-11-14,4942890,831874,4860061,1724958,397466,5047156,663
2021-11-15,5045076,838824,4865260,1725036,399591,5056954,664
2021-11-16,5077124,847188,4873075,1725187,402775,5061045,665
2021-11-17,5129950,853841,4883242,1725391,406065,5067712,666
2021-11-18,5195321,861117,4893887,1725539,409099,5074027,667
2021-11-19,5248291,868868,4904441,1725692,412311,5080663,668
2021-11-20,5248291,874812,4915981,1725796,415425,5080663,669
2021-11-21,5248291,878920,4925688,1725953,418252,5080663,670
2021-11-22,5385585,886207,4932091,1726002,420950,5096538,671
2021-11-23,5430911,894555,4942135,1726113,425065,5103315,672
2021-11-24,5497795,901661,4954585,1726190,429002,5111842,673
2021-11-25,5573756,908222,4968341,1726309,432901,5121100,674
2021-11-26,5650170,914824,4982022,1726430,436968,5131012,675
2021-11-27,5650170,920683,4994891,1726555,440896,5131012,676
2021-11-28,5650170,924506,5007818,1726627,444200,5131012,677
2021-11-29,5791060,931183,5015790,1726709,447230,5153923,678
2021-11-30,5836813,938903,5028547,1726798,452350,5164184,679
2021-12-01,5903999,945095,5043620,1726913,457612,5174720,680
2021-12-02,5977208,951351,5060430,1727030,462555,5189220,681
2021-12-03,6051560,957552,5077445,1727188,467907,5202958,682
2021-12-04,6051560,962695,5094072,1727308,473034,5202958,683
2021-12-05,6051560,966221,5109082,1727412,477358,5202958,684
2021-12-06,6185961,971148,5118576,1727493,482310,5202958,685
2021-12-07,6222020,978402,5134318,1727604,489484,5246766,686
2021-12-08,6291621,984301,5152264,1727739,496584,5246766,687
2021-12-09,6362232,989814,5164780,1727893,503606,5273178,688
2021-12-10,6423520,994901,5185270,1728039,510583,5290273,689
2021-12-11,6423520,999652,5206305,1728176,517271,5290190,690
2021-12-12,6423520,1002877,5225517,1728311,523088,5290190,691
2021-12-13,6531606,1006706,5238221,1728388,528652,5339992,692
2021-12-14,6562429,1012659,5258886,1728527,536495,5366128,693
2021-12-15,6613730,1017445,5282076,1728686,544117,5393268,694
2021-12-16,6670407,1022141,5308180,1728861,551551,5422168,695
2021-12-17,6721375,1026902,5336795,1729048,558864,5455527,696
2021-12-18,6721375,1031239,5364852,1729248,565098,5455527,697
2021-12-19,6721375,1034070,5389155,1729421,570414,5455527,698
2021-12-20,6809622,1037759,5405360,1729555,575615,5535231,699
2021-12-21,6833050,1044301,5436143,1729814,583065,5585054,700
2021-12-22,6878709,1049936,5472469,1730065,589978,5645095,701
2021-12-23,6923636,1056583,5517054,1730353,596209,5718007,702
2021-12-24,6923636,1064243,5567644,1730699,602045,5718007,703
2021-12-25,6923636,1070833,5622431,1731018,607463,5718007,704
2021-12-26,6923636,1074869,5647313,1731281,611670,5718007,705
2021-12-27,7005289,1084153,5678112,1731495,615532,5932626,706
2021-12-28,7026369,1105885,5756412,1731808,620938,6032297,707
2021-12-29,7066412,1134713,5854428,1732275,625967,6133057,708
2021-12-30,7109182,1170293,5981428,1732810,630838,6294745,709
2021-12-31,7109182,1210853,6125683,1733307,635253,6294745,710
2022-01-01,7109182,1240862,6266939,1733835,639083,6294745,711
2022-01-02,7109182,1258495,6328076,1734463,642207,6294745,712
2022-01-03,7109182,1294741,6396110,1735244,645226,6667511,713
2022-01-04,7238408,1344923,6566947,1736510,649669,6785286,714
2022-01-05,7297320,1388309,6756035,1738998,653792,6922466,715
2022-01-06,7361660,1422020,6975465,1743442,657508,6922466,716
2022-01-07,7417995,1451354,7083762,1749686,661015,7164906,717
2022-01-08,7417995,1489024,7281297,1758297,664391,7164906,718
2022-01-09,7417995,1507616,7436939,1766539,667390,7164906,719
2022-01-10,7535691,1535382,7554344,1772969,670483,7457300,720
2022-01-11,7581381,1568215,7774863,1779343,674868,7592242,721
2022-01-12,7661811,1592460,7971068,1792578,679030,7771367,722
2022-01-13,7743228,1612869,8155645,1811255,683566,7930528,723
2022-01-14,7835451,1632641,8356514,1833475,687984,8093036,724
2022-01-15,7835451,1650088,8549450,1859208,692174,8093036,725
2022-01-16,7835451,1660871,8706915,1884687,696032,8093036,726
2022-01-17,8000122,1679705,8790302,1905685,700102,8424503,727
2022-01-18,8074527,1703396,9018425,1938027,705902,8518975,728
2022-01-19,8186850,1723496,9219391,1979505,712503,8676916,729
2022-01-20,8320386,1742363,9418256,2025683,719269,8834363,730
2022-01-21,8460546,1762870,9603856,2075528,726274,8975458,731
2022-01-22,8460546,1781203,9781191,2129939,733902,8975458,732
2022-01-23,8460546,1793311,9923678,2179922,741413,8975458,733
2022-01-24,8744840,1812384,10001344,2224761,749979,9280890,734
2022-01-25,8871795,1830263,10212621,2287375,762983,9395767,735
2022-01-26,9035795,1848223,10383561,2358972,777497,9529320,736
2022-01-27,9238931,1867935,10539601,2437984,793582,9660208,737
2022-01-28,9429079,1890296,10683948,2519772,811122,9779130,738
2022-01-29,9429079,1909880,10821375,2604661,828637,9779130,739
2022-01-30,9429079,1920992,10925485,2682767,845709,9779130,740
2022-01-31,9815533,1940723,10983116,2743726,864042,9961253,741
2022-02-01,9978146,1965719,11116422,2825414,884310,10039126,742
2022-02-02,10186644,1984544,11235745,2920300,907214,10125348,743
2022-02-03,10422764,2002206,11348701,3024742,934656,10199716,744
2022-02-04,10671602,2020846,11449601,3122919,971018,10199716,745
2022-02-05,10671602,2036869,11542793,3225194,1009688,10199716,746
2022-02-06,10671602,2047849,11621736,3315180,1044963,10199716,747
2022-02-07,11117857,2066696,11663338,3383184,1081681,10395471,748
2022-02-08,11287428,2090383,11765767,3484368,1131239,10439302,749
2022-02-09,11521678,2109999,11847436,3582167,1185361,10502141,750
2022-02-10,11769540,2129153,11923631,3681890,1239287,10555196,751
2022-02-11,12009712,2146798,11991109,3780239,1294205,10604200,752
2022-02-12,12009712,2163240,12053330,3848672,1350630,10604200,753
2022-02-13,12009712,2174093,12105675,3926107,1405246,10604200,754
2022-02-14,12421126,2194453,12134451,3986217,1462421,10672906,755
2022-02-15,12580343,2216411,12205474,4070412,1552851,10707286,756
2022-02-16,12800315,2235920,12265343,4161342,1645978,10744394,757
2022-02-17,13035941,2255421,12323398,4256522,1755806,10778607,758
2022-02-18,13255989,2274025,12377098,4344220,1858009,10809222,759
2022-02-19,13255989,2289330,12427773,4425739,1962837,10809222,760
2022-02-20,13255989,2298926,12469975,4497233,2058184,10809222,761
2022-02-21,13636993,2317014,12494459,4549142,2157734,10858000,762
2022-02-22,13762895,2336615,12554596,4618759,2329182,10880193,763
2022-02-23,13971947,2353577,12603758,4699110,2499188,10914105,764
2022-02-24,14188269,2369396,12651251,4760332,2665077,10949997,765
2022-02-25,14399012,2385304,12693320,4825972,2831283,10977524,766
2022-02-26,14399012,2397187,12732680,4898120,2994841,10977524,767
2022-02-27,14399012,2405401,12764558,4961816,3134456,10977524,768
2022-02-28,14745107,2421664,12782836,5012908,3273449,10977524,769
2022-03-01,14867218,2438872,12829972,5078276,3492686,11036085,770
2022-03-02,15053624,2454429,12867918,5150876,3691488,11054888,771
2022-03-03,15264297,2470212,12910506,5221144,3958326,11078028,772
2022-03-04,15481890,2486262,12948859,5284831,4212652,11100428,773
2022-03-05,15481890,2499259,12990223,5348422,4456264,11100428,774
2022-03-06,15481890,2508472,13026112,5402455,4666977,11100428,775
2022-03-07,15869417,2517111,13048774,5439457,4869691,11136425,776
2022-03-08,15869417,2538168,13109527,5493395,5212118,11159574,777
2022-03-09,16242070,2561503,13159342,5557262,5539650,11181510,778
2022-03-10,16504822,2583366,13214498,5618325,5822626,11204125,779
2022-03-11,16757658,2604626,13268459,5674311,6206277,11223974,780
2022-03-12,16757658,2623628,13323179,5729537,6556453,11223974,781
2022-03-13,16757658,2635614,13373207,5780484,6866222,11223974,782
2022-03-14,17233729,2658296,13402905,5812843,7228550,11223974,783
2022-03-15,17432617,2684916,13489319,5863778,7629275,11260040,784
2022-03-16,17695210,2708610,13563466,5921690,8250592,11260040,785
2022-03-17,17990141,2732866,13645834,5975168,8657609,11260040,786
2022-03-18,18287986,2756487,13724411,6024350,9038938,11324637,787
2022-03-19,18287986,2776192,13800179,6068943,9373646,11324637,788
2022-03-20,18287986,2788654,13861743,6108503,9582815,11324637,789
2022-03-21,18772331,2812182,13895188,6136069,9936540,11324637,790
2022-03-22,18994411,2838891,13992092,6156221,10427247,11378784,791
2022-03-23,19278143,2861993,14070450,6197583,10822836,11378784,792
2022-03-24,19596530,2884100,14153098,6247334,11162232,11378784,793
2022-03-25,19893028,2900334,14229495,6294771,11497711,11451676,794
2022-03-26,19893028,2916892,14304111,6342100,11815841,11451676,795
2022-03-27,19893028,2930321,14364723,6385448,12003054,11451676,796
2022-03-28,20323779,2957810,14396283,6415168,12350428,11451676,797
2022-03-29,20561131,2986882,14496579,6459761,12774956,11508309,798
2022-03-30,20829608,3009333,14567990,6513370,13095631,11508309,799
2022-03-31,21104509,3030429,14642354,6565019,13375818,11508309,800
