,Germany,Greece,Italy,Japan,"Korea, South",Spain,Day
2020-08-06,213067,5123,249204,44172,14519,309855,198
2020-08-07,214214,5270,249756,45777,14562,314362,199
2020-08-08,215336,5421,250103,47348,14598,314362,200
2020-08-09,215891,5623,250566,48789,14626,314362,201
2020-08-10,216327,5749,250825,49627,14660,322980,202
2020-08-11,217293,5942,251237,50324,14714,326612,203
2020-08-12,218519,6177,251713,51303,14770,329784,204
2020-08-13,219964,6381,252235,52475,14873,337334,205
2020-08-14,221413,6632,252809,53831,15039,342813,206
2020-08-15,222828,6858,253438,55062,15318,342813,207
2020-08-16,223453,7075,253915,56079,15515,342813,208
2020-08-17,224014,7222,254235,56726,15761,359082,209
2020-08-18,225404,7472,254636,57642,16058,364196,210
2020-08-19,226914,7684,255278,58712,16346,370867,211
2020-08-20,228621,7934,256118,59890,16670,377906,212
2020-08-21,230048,8138,257065,60927,17002,386054,213
2020-08-22,232082,8381,258136,61911,17399,386054,214
2020-08-23,232864,8664,259345,62655,17665,386054,215
2020-08-24,233575,8819,260298,63148,17945,405436,216
2020-08-25,234853,8987,261174,63863,18265,412553,217
2020-08-26,236429,8987,262540,64766,18706,419849,218
2020-08-27,237936,9531,263949,65629,19077,429507,219
2020-08-28,239507,9800,265409,66505,19400,439286,220
2020-08-29,240986,9977,266853,67349,19699,439286,221
2020-08-30,241771,10134,268218,67949,19947,439286,222
2020-08-31,242381,10317,269214,68385,20182,462858,223
2020-09-01,243599,10524,270189,69018,20449,470973,224
2020-09-02,244855,10757,271515,69610,20644,479554,225
2020-09-03,246166,10998,272912,70267,20842,488513,226
2020-09-04,247619,11200,274644,70854,21010,498989,227
2020-09-05,248997,11386,276338,71452,21177,498989,228
2020-09-06,249985,11524,277634,71903,21296,498989,229
2020-09-07,250799,11663,278784,72194,21432,525549,230
2020-09-08,252298,11832,280153,72703,21588,534513,231
2020-09-09,253474,12080,281583,73211,21743,543379,232
2020-09-10,255366,12452,283180,73923,21919,554143,233
2020-09-11,256850,12734,284796,74565,22055,566326,234
2020-09-12,258480,13036,286297,75211,22176,566326,235
2020-09-13,259428,13240,287753,75650,22285,566326,236
2020-09-14,260355,13420,288761,75916,22391,593730,237
2020-09-15,261762,13730,289990,76447,22504,603167,238
2020-09-16,263663,14041,291442,76998,22657,614360,239
2020-09-17,265857,14400,293025,77487,22783,625651,240
2020-09-18,267773,14738,294932,78059,22893,640040,241
2020-09-19,270070,14978,296569,78655,22975,640040,242
2020-09-20,271415,15142,298156,79135,23045,640040,243
2020-09-21,272337,15595,299506,79445,23106,671468,244
2020-09-22,274158,15928,300897,79776,23216,682267,245
2020-09-23,275927,16286,302537,79995,23341,693556,246
2020-09-24,278070,16627,304323,80477,23455,704209,247
2020-09-25,280223,16913,306235,81050,23516,716481,248
2020-09-26,282730,17228,308104,81689,23611,716481,249
2020-09-27,284140,17444,309870,82174,23661,716481,250
2020-09-28,285332,17707,311364,82476,23699,748266,251
2020-09-29,287421,18123,313011,83003,23812,748266,252
2020-09-30,289219,18475,314861,83579,23889,769188,253
2020-10-01,291722,18886,317409,84212,23952,778607,254
2020-10-02,294395,19346,319908,84754,24027,789932,255
2020-10-03,296958,19613,322751,85328,24091,789932,256
2020-10-04,299237,19842,325329,85728,24164,789932,257
2020-10-05,300619,20142,327586,86007,24239,813412,258
2020-10-06,303258,20541,330263,86507,24353,825410,259
2020-10-07,306086,20947,333940,87013,24422,835901,260
2020-10-08,310144,21381,338398,87640,24476,848324,261
2020-10-09,314660,21772,343770,88243,24548,861112,262
2020-10-10,319381,22078,349494,88921,24606,861112,263
2020-10-11,322864,22358,354950,89357,24703,861112,264
2020-10-12,325331,22652,359569,89635,24805,888968,265
2020-10-13,329453,23060,365467,90133,24889,896086,266
2020-10-14,334585,23495,372799,90685,24988,908056,267
2020-10-15,341223,23947,381602,91393,25035,921374,268
2020-10-16,348557,24450,391611,92032,25108,936560,269
2020-10-17,356387,24932,402536,92655,25199,936560,270
2020-10-18,361974,25370,414241,93085,25275,936560,271
2020-10-19,366299,25802,423578,93401,25333,974449,272
2020-10-20,373167,26469,434449,93882,25424,988322,273
2020-10-21,380762,27334,449648,94497,25543,1005295,274
2020-10-22,392049,28216,465726,95113,25698,1026281,275
2020-10-23,403291,29057,484869,95858,25775,1046132,276
2020-10-24,418005,29992,504509,96584,25836,1046132,277
2020-10-25,429181,30782,525782,97077,25955,1046132,278
2020-10-26,437866,31496,542789,97487,26043,1098320,279
2020-10-27,449275,32752,564778,98133,26146,1116738,280
2020-10-28,464239,34299,589766,98864,26271,1136503,281
2020-10-29,481013,35510,616595,99672,26385,1160083,282
2020-10-30,499694,37196,647674,100446,26511,1185678,283
2020-10-31,518753,39251,679430,101323,26635,1185678,284
2020-11-01,532930,40929,709335,101936,26732,1185678,285
2020-11-02,545027,42080,731588,102423,26807,1240697,286
